PC	eigenvalue	proportion of total	cumulative proportion
187	18.98682	0.00117	0.66685
188	18.8772	0.00117	0.66801
189	18.69028	0.00115	0.66917
190	18.60628	0.00115	0.67031
191	18.56436	0.00115	0.67146
192	18.49442	0.00114	0.6726
193	18.45675	0.00114	0.67374
194	18.33471	0.00113	0.67487
195	18.29914	0.00113	0.676
196	18.24059	0.00113	0.67713
197	18.12676	0.00112	0.67825
198	18.0848	0.00112	0.67937
199	18.03475	0.00111	0.68048
200	17.94845	0.00111	0.68159
201	17.86404	0.0011	0.68269
202	1.1022E-25	6.8057E-30	0.68269
203	17.77696	0.0011	0.68379
204	17.75401	0.0011	0.68489
205	17.64226	0.00109	0.68597
206	17.57465	0.00109	0.68706
207	17.54852	0.00108	0.68814
208	17.51629	0.00108	0.68922
209	17.48945	0.00108	0.6903
210	17.4476	0.00108	0.69138
211	17.36227	0.00107	0.69245
212	17.25235	0.00107	0.69352
213	17.18634	0.00106	0.69458
214	17.13281	0.00106	0.69564
215	17.07105	0.00105	0.69669
216	16.97533	0.00105	0.69774
217	16.94783	0.00105	0.69879
218	16.87156	0.00104	0.69983
219	16.80713	0.00104	0.70087
220	16.7733	0.00104	0.7019
221	16.6707	0.00103	0.70293
222	1.64519	1.0158E-4	0.70303
223	16.58386	0.00102	0.70406
224	16.52423	0.00102	0.70508
225	16.49775	0.00102	0.7061
226	16.40843	0.00101	0.70711
227	16.37978	0.00101	0.70812
228	16.34975	0.00101	0.70913
229	16.25154	0.001	0.71013
230	16.21785	0.001	0.71113
231	16.13413	9.9621E-4	0.71213
232	16.08634	9.9326E-4	0.71312
233	16.02938	9.8974E-4	0.71411
234	16.00793	9.8842E-4	0.7151
235	15.94018	9.8423E-4	0.71609
236	15.87302	9.8009E-4	0.71707
237	15.85894	9.7922E-4	0.71805
238	2.01543	1.2444E-4	0.71817
239	15.75871	9.7303E-4	0.71914
240	15.71245	9.7017E-4	0.72011
241	2.10217	1.298E-4	0.72024
242	2.12188	1.3102E-4	0.72037
243	15.64833	9.6621E-4	0.72134
244	15.6387	9.6562E-4	0.72231
245	15.57353	9.616E-4	0.72327
246	15.56199	9.6088E-4	0.72423
247	15.51841	9.5819E-4	0.72519
248	15.46581	9.5494E-4	0.72614
249	15.42692	9.5254E-4	0.72709
250	2.23683	1.3811E-4	0.72723
251	15.36481	9.4871E-4	0.72818
252	15.31978	9.4593E-4	0.72913
253	2.27406	1.4041E-4	0.72927
254	15.25065	9.4166E-4	0.73021
255	15.2146	9.3943E-4	0.73115
256	2.33033	1.4389E-4	0.73129
257	15.15827	9.3595E-4	0.73223
258	15.11356	9.3319E-4	0.73316
259	15.09397	9.3198E-4	0.73409
260	15.05078	9.2932E-4	0.73502
261	2.36036	1.4574E-4	0.73517
262	14.93745	9.2232E-4	0.73609
263	14.9007	9.2005E-4	0.73701
264	14.88267	9.1894E-4	0.73793
265	14.85005	9.1692E-4	0.73885
266	2.43884	1.5059E-4	0.739
267	2.4544	1.5155E-4	0.73915
268	14.78958	9.1319E-4	0.74006
269	2.4801	1.5314E-4	0.74022
270	2.49357	1.5397E-4	0.74037
271	14.74833	9.1064E-4	0.74128
272	2.51682	1.554E-4	0.74144
273	2.5378	1.567E-4	0.74159
274	2.56017	1.5808E-4	0.74175
275	2.56527	1.5839E-4	0.74191
276	14.68629	9.0681E-4	0.74282
277	14.66536	9.0552E-4	0.74372
278	14.62794	9.0321E-4	0.74462
279	14.58168	9.0035E-4	0.74552
280	2.61289	1.6133E-4	0.74569
281	2.6303	1.6241E-4	0.74585
282	2.6406	1.6305E-4	0.74601
283	2.65564	1.6397E-4	0.74618
284	2.67006	1.6486E-4	0.74634
285	14.51503	8.9624E-4	0.74724
286	2.70989	1.6732E-4	0.7474
287	2.72697	1.6838E-4	0.74757
288	2.7399	1.6918E-4	0.74774
289	14.46382	8.9308E-4	0.74863
290	14.42308	8.9056E-4	0.74952
291	2.78774	1.7213E-4	0.7497
292	2.80022	1.729E-4	0.74987
293	2.82394	1.7437E-4	0.75004
294	2.84728	1.7581E-4	0.75022
295	2.86202	1.7672E-4	0.7504
296	14.3748	8.8758E-4	0.75128
297	2.90101	1.7912E-4	0.75146
298	2.91567	1.8003E-4	0.75164
299	2.92885	1.8084E-4	0.75182
300	2.95345	1.8236E-4	0.75201
301	2.97087	1.8344E-4	0.75219
302	14.3219	8.8431E-4	0.75307
303	14.29425	8.8261E-4	0.75396
304	14.26431	8.8076E-4	0.75484
305	14.2136	8.7763E-4	0.75572
306	14.21001	8.774E-4	0.75659
307	3.00734	1.8569E-4	0.75678
308	3.02191	1.8659E-4	0.75697
309	3.04264	1.8787E-4	0.75715
310	3.05866	1.8886E-4	0.75734
311	14.14575	8.7344E-4	0.75822
312	3.10745	1.9187E-4	0.75841
313	3.11586	1.9239E-4	0.7586
314	3.15405	1.9475E-4	0.75879
315	3.1534	1.9471E-4	0.75899
316	3.18649	1.9675E-4	0.75919
317	3.20945	1.9817E-4	0.75938
318	14.08947	8.6996E-4	0.76025
319	3.2409	2.0011E-4	0.76045
320	3.26409	2.0154E-4	0.76066
321	3.26374	2.0152E-4	0.76086
322	3.31527	2.047E-4	0.76106
323	3.33192	2.0573E-4	0.76127
324	3.35643	2.0724E-4	0.76147
325	3.37965	2.0868E-4	0.76168
326	3.39539	2.0965E-4	0.76189
327	3.43243	2.1194E-4	0.76211
328	3.45481	2.1332E-4	0.76232
329	14.02687	8.661E-4	0.76318
330	14.01384	8.6529E-4	0.76405
331	13.97045	8.6261E-4	0.76491
332	13.94874	8.6127E-4	0.76577
333	3.52475	2.1764E-4	0.76599
334	3.5436	2.188E-4	0.76621
335	3.58858	2.2158E-4	0.76643
336	13.89892	8.582E-4	0.76729
337	13.82827	8.5383E-4	0.76814
338	13.80562	8.5243E-4	0.769
339	3.70224	2.286E-4	0.76922
340	3.73107	2.3038E-4	0.76946
341	13.76022	8.4963E-4	0.7703
342	13.71167	8.4663E-4	0.77115
343	13.71632	8.4692E-4	0.772
344	13.64692	8.4264E-4	0.77284
345	13.60201	8.3986E-4	0.77368
346	13.59548	8.3946E-4	0.77452
347	13.55793	8.3714E-4	0.77536
348	13.53635	8.3581E-4	0.77619
349	13.47359	8.3193E-4	0.77703
350	13.4406	8.299E-4	0.77786
351	3.96952	2.451E-4	0.7781
352	3.99719	2.4681E-4	0.77835
353	13.39231	8.2691E-4	0.77917
354	13.35173	8.2441E-4	0.78
355	13.31496	8.2214E-4	0.78082
356	13.28126	8.2006E-4	0.78164
357	13.26218	8.1888E-4	0.78246
358	4.08675	2.5234E-4	0.78271
359	13.23286	8.1707E-4	0.78353
360	13.22141	8.1636E-4	0.78435
361	13.18867	8.1434E-4	0.78516
362	13.15041	8.1198E-4	0.78597
363	13.1391	8.1128E-4	0.78678
364	4.15813	2.5675E-4	0.78704
365	13.0314	8.0463E-4	0.78784
366	13.00045	8.0272E-4	0.78865
367	12.97012	8.0085E-4	0.78945
368	4.20131	2.5941E-4	0.78971
369	12.92959	7.9834E-4	0.79051
370	12.90264	7.9668E-4	0.7913
371	12.8932	7.961E-4	0.7921
372	12.83639	7.9259E-4	0.79289
373	12.83233	7.9234E-4	0.79368
374	12.80231	7.9048E-4	0.79447
375	12.76715	7.8831E-4	0.79526
376	12.75166	7.8736E-4	0.79605
377	4.26866	2.6357E-4	0.79631
378	12.69972	7.8415E-4	0.7971
379	12.6727	7.8248E-4	0.79788
380	4.30335	2.6571E-4	0.79815
381	12.62603	7.796E-4	0.79892
382	12.59867	7.7791E-4	0.7997
383	12.53378	7.739E-4	0.80048
384	4.361	2.6927E-4	0.80075
385	12.4993	7.7178E-4	0.80152
386	12.46893	7.699E-4	0.80229
