fix_cofs_RSS,cofs_RSS,h2_RSS,unexpl_RSS
0.0861764343771572,0.0861764343771572,0.573743666944152,1
0.0861764343771572,0.135453614590809,0.570345851363086,1
0.0861764343771572,0.165354210468875,0.549209997348932,1
0.0861764343771572,0.183726717179306,0.563813113255813,1
0.0861764343771572,0.194506234616585,0.58629756763657,1
0.0861764343771572,0.206941672920289,0.592149238675042,1
0.0861764343771572,0.231084267127001,0.592342553002517,1
0.0861764343771572,0.24573600734004,0.579978517616079,1
0.0861764343771572,0.271626251002789,0.577948767986617,1
0.0861764343771572,0.279587630792394,0.574156718776563,1
0.0861764343771572,0.279587630792394,0.574156718776567,1
0.0861764343771572,0.271626251002789,0.577948767986625,1
0.0861764343771572,0.24573600734004,0.579978517616079,1
0.0861764343771572,0.231084267127001,0.592342553002517,1
0.0861764343771572,0.206941672920289,0.592149238675042,1
0.0861764343771572,0.194506234616585,0.58629756763657,1
0.0861764343771572,0.183726717179306,0.563813113255813,1
0.0861764343771572,0.142570145286388,0.57008854187576,1
0.0861764343771572,0.111312200434652,0.589340903111886,1
0.0861764343771572,0.0861764343771572,0.573743666944152,1
