PC	eigenvalue	proportion of total	cumulative proportion
187	10.55921	0.00109	0.60107
188	10.52441	0.00109	0.60215
189	10.46915	0.00108	0.60324
190	10.41947	0.00108	0.60431
191	10.3794	0.00107	0.60539
192	10.3674	0.00107	0.60646
193	10.34196	0.00107	0.60753
194	10.28661	0.00106	0.60859
195	10.24427	0.00106	0.60965
196	10.20321	0.00106	0.61071
197	10.16311	0.00105	0.61176
198	10.09407	0.00104	0.6128
199	10.07956	0.00104	0.61385
200	10.02543	0.00104	0.61488
201	9.97852	0.00103	0.61591
202	9.95171	0.00103	0.61694
203	9.932	0.00103	0.61797
204	9.8863	0.00102	0.61899
205	9.84127	0.00102	0.62001
206	9.77838	0.00101	0.62102
207	9.73261	0.00101	0.62203
208	9.71611	0.001	0.62303
209	9.66277	9.9933E-4	0.62403
210	9.6387	9.9684E-4	0.62503
211	9.62184	9.9509E-4	0.62603
212	9.58037	9.908E-4	0.62702
213	9.56364	9.8907E-4	0.62801
214	9.53166	9.8577E-4	0.62899
215	9.47884	9.803E-4	0.62997
216	9.46077	9.7843E-4	0.63095
217	9.43294	9.7556E-4	0.63193
218	9.41127	9.7332E-4	0.6329
219	9.37209	9.6926E-4	0.63387
220	9.30259	9.6208E-4	0.63483
221	9.26072	9.5775E-4	0.63579
222	9.22455	9.5401E-4	0.63674
223	9.18547	9.4996E-4	0.63769
224	9.1705	9.4842E-4	0.63864
225	9.14203	9.4547E-4	0.63959
226	9.08209	9.3927E-4	0.64052
227	9.05268	9.3623E-4	0.64146
228	9.01931	9.3278E-4	0.64239
229	8.98387	9.2911E-4	0.64332
230	8.94931	9.2554E-4	0.64425
231	8.93949	9.2452E-4	0.64517
232	8.89613	9.2004E-4	0.64609
233	8.87344	9.1769E-4	0.64701
234	8.85584	9.1587E-4	0.64793
235	8.82742	9.1293E-4	0.64884
236	8.81806	9.1197E-4	0.64975
237	8.77942	9.0797E-4	0.65066
238	8.75649	9.056E-4	0.65156
239	8.73819	9.0371E-4	0.65247
240	8.70795	9.0058E-4	0.65337
241	8.67778	8.9746E-4	0.65427
242	8.64293	8.9385E-4	0.65516
243	8.63149	8.9267E-4	0.65605
244	8.58207	8.8756E-4	0.65694
245	8.57818	8.8716E-4	0.65783
246	8.54976	8.8422E-4	0.65871
247	8.49776	8.7884E-4	0.65959
248	8.45979	8.7491E-4	0.66047
249	8.44071	8.7294E-4	0.66134
250	8.42863	8.7169E-4	0.66221
251	8.42195	8.71E-4	0.66308
252	8.3872	8.6741E-4	0.66395
253	8.32056	8.6051E-4	0.66481
254	8.31267	8.597E-4	0.66567
255	8.27571	8.5588E-4	0.66652
256	8.2656	8.5483E-4	0.66738
257	8.22649	8.5079E-4	0.66823
258	8.22205	8.5033E-4	0.66908
259	8.18597	8.466E-4	0.66993
260	3.4704E-26	3.5891E-30	0.66993
261	8.12954	8.4076E-4	0.67077
262	8.12147	8.3992E-4	0.67161
263	8.10314	8.3803E-4	0.67245
264	8.07378	8.3499E-4	0.67328
265	8.04856	8.3238E-4	0.67411
266	8.03232	8.307E-4	0.67494
267	8.01078	8.2848E-4	0.67577
268	7.99341	8.2668E-4	0.6766
269	7.95932	8.2316E-4	0.67742
270	7.94429	8.216E-4	0.67824
271	7.92954	8.2008E-4	0.67906
272	7.88977	8.1596E-4	0.67988
273	7.82417	8.0918E-4	0.68069
274	7.81755	8.0849E-4	0.6815
