PC	eigenvalue	proportion of total	cumulative proportion
727	4.46303	4.6157E-4	0.88441
728	2.50509	2.5908E-4	0.88467
729	2.51432	2.6003E-4	0.88493
730	4.45463	4.607E-4	0.88539
731	4.45399	4.6063E-4	0.88585
732	4.44254	4.5945E-4	0.88631
733	4.43426	4.5859E-4	0.88677
734	2.5235	2.6098E-4	0.88703
735	2.52521	2.6116E-4	0.88729
736	2.53253	2.6191E-4	0.88755
737	2.53878	2.6256E-4	0.88782
738	2.54501	2.6321E-4	0.88808
739	2.5475	2.6346E-4	0.88834
740	4.42197	4.5732E-4	0.8888
741	4.41436	4.5653E-4	0.88926
742	4.4061	4.5568E-4	0.88971
743	4.40745	4.5582E-4	0.89017
744	4.39747	4.5479E-4	0.89062
745	4.39182	4.542E-4	0.89108
746	4.38711	4.5372E-4	0.89153
747	4.38265	4.5326E-4	0.89198
748	2.5563	2.6437E-4	0.89225
749	2.5626	2.6502E-4	0.89251
750	2.56628	2.6541E-4	0.89278
751	4.36415	4.5134E-4	0.89323
752	4.35557	4.5045E-4	0.89368
753	2.57529	2.6634E-4	0.89395
754	4.34812	4.4968E-4	0.8944
755	4.34188	4.4904E-4	0.89485
756	4.33686	4.4852E-4	0.89529
757	2.58146	2.6698E-4	0.89556
758	2.58525	2.6737E-4	0.89583
759	2.58942	2.678E-4	0.8961
760	2.59473	2.6835E-4	0.89636
761	2.6002	2.6891E-4	0.89663
762	2.60174	2.6907E-4	0.8969
763	2.60958	2.6988E-4	0.89717
764	2.60417	2.6932E-4	0.89744
765	4.32661	4.4746E-4	0.89789
766	2.61907	2.7086E-4	0.89816
767	2.62717	2.717E-4	0.89843
768	4.31585	4.4635E-4	0.89888
769	4.31017	4.4576E-4	0.89932
770	4.30574	4.453E-4	0.89977
771	4.30165	4.4488E-4	0.90021
772	4.29495	4.4418E-4	0.90066
773	4.29006	4.4368E-4	0.9011
774	4.28392	4.4304E-4	0.90155
775	4.27628	4.4225E-4	0.90199
776	4.2709	4.417E-4	0.90243
777	4.26582	4.4117E-4	0.90287
778	4.26198	4.4078E-4	0.90331
779	2.6362	2.7264E-4	0.90358
780	2.64306	2.7335E-4	0.90386
781	2.64721	2.7378E-4	0.90413
782	2.64858	2.7392E-4	0.9044
783	2.65155	2.7422E-4	0.90468
784	2.6564	2.7473E-4	0.90495
785	2.66252	2.7536E-4	0.90523
786	4.24937	4.3947E-4	0.90567
787	4.23317	4.378E-4	0.90611
788	4.22883	4.3735E-4	0.90654
789	4.23625	4.3811E-4	0.90698
790	2.67103	2.7624E-4	0.90726
791	2.67447	2.7659E-4	0.90753
792	2.67887	2.7705E-4	0.90781
793	2.68789	2.7798E-4	0.90809
794	2.69153	2.7836E-4	0.90837
795	2.69396	2.7861E-4	0.90865
796	4.21582	4.36E-4	0.90908
797	4.20887	4.3528E-4	0.90952
798	4.20149	4.3452E-4	0.90995
799	4.20055	4.3442E-4	0.91039
800	4.18945	4.3327E-4	0.91082
801	4.18902	4.3323E-4	0.91125
802	4.18148	4.3245E-4	0.91169
803	2.7004	2.7928E-4	0.91197
804	2.70879	2.8014E-4	0.91225
805	2.71396	2.8068E-4	0.91253
806	2.71443	2.8073E-4	0.91281
807	2.71715	2.8101E-4	0.91309
808	2.72299	2.8161E-4	0.91337
809	2.72613	2.8194E-4	0.91365
810	4.17023	4.3129E-4	0.91408
811	4.16293	4.3053E-4	0.91451
812	4.15811	4.3003E-4	0.91494
813	4.14816	4.29E-4	0.91537
814	4.14532	4.2871E-4	0.9158
815	2.73798	2.8316E-4	0.91608
816	2.74089	2.8346E-4	0.91637
817	2.74627	2.8402E-4	0.91665
818	2.75317	2.8473E-4	0.91694
819	2.75633	2.8506E-4	0.91722
820	2.76262	2.8571E-4	0.91751
821	2.76815	2.8628E-4	0.91779
822	2.77213	2.8669E-4	0.91808
823	2.77591	2.8709E-4	0.91837
824	2.78157	2.8767E-4	0.91865
825	2.78114	2.8763E-4	0.91894
826	2.78871	2.8841E-4	0.91923
827	2.79368	2.8892E-4	0.91952
828	4.13486	4.2763E-4	0.91995
829	4.13286	4.2742E-4	0.92037
830	4.11979	4.2607E-4	0.9208
831	4.12019	4.2611E-4	0.92123
832	2.80125	2.8971E-4	0.92152
833	2.80913	2.9052E-4	0.92181
834	2.8166	2.9129E-4	0.9221
835	2.81918	2.9156E-4	0.92239
836	2.82498	2.9216E-4	0.92268
837	2.82694	2.9236E-4	0.92297
838	2.83236	2.9292E-4	0.92327
839	2.83647	2.9335E-4	0.92356
840	2.84619	2.9435E-4	0.92386
841	2.84778	2.9452E-4	0.92415
842	2.85319	2.9508E-4	0.92444
843	2.85994	2.9578E-4	0.92474
844	2.86384	2.9618E-4	0.92504
845	4.10442	4.2448E-4	0.92546
846	4.10441	4.2448E-4	0.92589
847	4.08897	4.2288E-4	0.92631
848	4.08617	4.2259E-4	0.92673
849	2.87527	2.9736E-4	0.92703
850	2.87766	2.9761E-4	0.92733
851	2.88618	2.9849E-4	0.92762
852	2.89031	2.9892E-4	0.92792
853	2.89253	2.9915E-4	0.92822
854	2.89524	2.9943E-4	0.92852
855	4.07361	4.2129E-4	0.92894
856	4.06848	4.2076E-4	0.92936
857	4.06211	4.201E-4	0.92978
858	4.05887	4.1977E-4	0.9302
859	4.05329	4.1919E-4	0.93062
860	4.04918	4.1877E-4	0.93104
861	4.04246	4.1807E-4	0.93146
862	4.03159	4.1695E-4	0.93188
863	4.02615	4.1639E-4	0.93229
864	4.02174	4.1593E-4	0.93271
865	4.01444	4.1517E-4	0.93312
866	4.01055	4.1477E-4	0.93354
867	4.0061	4.1431E-4	0.93395
868	2.90996	3.0095E-4	0.93425
869	2.9157	3.0154E-4	0.93456
870	2.91713	3.0169E-4	0.93486
871	2.92496	3.025E-4	0.93516
872	2.92939	3.0296E-4	0.93546
873	2.93206	3.0323E-4	0.93577
874	2.93727	3.0377E-4	0.93607
875	2.94118	3.0418E-4	0.93637
876	3.99297	4.1295E-4	0.93679
877	3.98821	4.1246E-4	0.9372
878	3.98407	4.1203E-4	0.93761
879	3.97774	4.1138E-4	0.93802
880	2.94976	3.0506E-4	0.93833
881	2.95523	3.0563E-4	0.93863
882	2.96048	3.0617E-4	0.93894
883	3.96844	4.1042E-4	0.93935
884	3.96189	4.0974E-4	0.93976
885	3.95739	4.0927E-4	0.94017
886	3.94985	4.0849E-4	0.94058
887	3.94474	4.0797E-4	0.94099
888	3.93749	4.0722E-4	0.94139
889	3.93026	4.0647E-4	0.9418
890	3.92638	4.0607E-4	0.94221
891	2.97025	3.0718E-4	0.94251
892	2.97447	3.0762E-4	0.94282
893	3.91094	4.0447E-4	0.94323
894	3.90685	4.0405E-4	0.94363
895	3.90193	4.0354E-4	0.94403
896	3.89581	4.0291E-4	0.94444
897	3.88976	4.0228E-4	0.94484
898	3.89169	4.0248E-4	0.94524
899	3.87922	4.0119E-4	0.94564
900	3.87625	4.0088E-4	0.94604
901	2.98108	3.083E-4	0.94635
902	2.98707	3.0892E-4	0.94666
903	2.99096	3.0933E-4	0.94697
904	2.99478	3.0972E-4	0.94728
905	3.00338	3.1061E-4	0.94759
906	3.0107	3.1137E-4	0.9479
907	3.01105	3.114E-4	0.94821
908	3.01461	3.1177E-4	0.94852
909	3.86393	3.9961E-4	0.94892
910	3.85577	3.9876E-4	0.94932
911	3.0255	3.129E-4	0.94964
912	3.03056	3.1342E-4	0.94995
913	3.03289	3.1366E-4	0.95026
914	3.84728	3.9789E-4	0.95066
915	3.84407	3.9755E-4	0.95106
916	3.04261	3.1467E-4	0.95137
917	3.04937	3.1537E-4	0.95169
918	3.05501	3.1595E-4	0.952
919	3.05965	3.1643E-4	0.95232
920	3.06179	3.1665E-4	0.95264
921	3.06603	3.1709E-4	0.95295
922	3.83258	3.9637E-4	0.95335
923	3.82513	3.956E-4	0.95375
924	3.82081	3.9515E-4	0.95414
925	3.81466	3.9451E-4	0.95454
926	3.81198	3.9424E-4	0.95493
927	3.07454	3.1797E-4	0.95525
928	3.08022	3.1856E-4	0.95557
929	3.084	3.1895E-4	0.95589
930	3.08906	3.1947E-4	0.9562
931	3.0922	3.198E-4	0.95652
932	3.10562	3.2118E-4	0.95685
933	3.10774	3.214E-4	0.95717
934	3.11378	3.2203E-4	0.95749
935	3.11644	3.223E-4	0.95781
936	3.12006	3.2268E-4	0.95813
937	3.12666	3.2336E-4	0.95846
938	3.13066	3.2377E-4	0.95878
939	3.13641	3.2437E-4	0.95911
940	3.80127	3.9313E-4	0.9595
941	3.8	3.93E-4	0.95989
942	3.7925	3.9222E-4	0.96028
943	3.78628	3.9158E-4	0.96068
944	3.7812	3.9105E-4	0.96107
945	3.77802	3.9072E-4	0.96146
946	3.77116	3.9001E-4	0.96185
947	3.7644	3.8932E-4	0.96224
948	3.76311	3.8918E-4	0.96263
949	3.75329	3.8817E-4	0.96301
950	3.74797	3.8762E-4	0.9634
951	3.745	3.8731E-4	0.96379
952	3.74199	3.87E-4	0.96418
953	3.73167	3.8593E-4	0.96456
954	3.72312	3.8505E-4	0.96495
955	3.72094	3.8482E-4	0.96533
956	3.71612	3.8432E-4	0.96572
957	3.14696	3.2546E-4	0.96604
958	3.15171	3.2595E-4	0.96637
959	3.1568	3.2648E-4	0.96669
960	3.16203	3.2702E-4	0.96702
961	3.16332	3.2715E-4	0.96735
962	3.17033	3.2788E-4	0.96768
963	3.17375	3.2823E-4	0.968
964	3.18729	3.2963E-4	0.96833
965	3.18278	3.2916E-4	0.96866
966	3.18345	3.2923E-4	0.96899
967	3.19718	3.3065E-4	0.96932
968	3.20142	3.3109E-4	0.96965
969	3.20546	3.3151E-4	0.96999
970	3.20853	3.3183E-4	0.97032
971	3.2156	3.3256E-4	0.97065
972	3.22243	3.3326E-4	0.97098
973	3.22556	3.3359E-4	0.97132
974	3.22638	3.3367E-4	0.97165
975	3.24038	3.3512E-4	0.97199
976	3.24298	3.3539E-4	0.97232
977	3.25154	3.3627E-4	0.97266
978	3.25563	3.367E-4	0.97299
979	3.26092	3.3725E-4	0.97333
980	3.27124	3.3831E-4	0.97367
981	3.27557	3.3876E-4	0.97401
982	3.27655	3.3886E-4	0.97435
983	3.28255	3.3948E-4	0.97469
984	3.28467	3.397E-4	0.97503
985	3.29387	3.4065E-4	0.97537
986	3.29942	3.4123E-4	0.97571
987	3.30575	3.4188E-4	0.97605
988	3.31174	3.425E-4	0.97639
989	3.70321	3.8299E-4	0.97678
990	3.69661	3.823E-4	0.97716
991	3.69347	3.8198E-4	0.97754
992	3.3201	3.4337E-4	0.97788
993	3.32577	3.4395E-4	0.97823
994	3.68307	3.809E-4	0.97861
995	3.67939	3.8052E-4	0.97899
996	3.67315	3.7988E-4	0.97937
997	3.66734	3.7928E-4	0.97975
998	3.66083	3.786E-4	0.98013
999	3.65509	3.7801E-4	0.9805
1000	3.64955	3.7744E-4	0.98088
1001	3.64445	3.7691E-4	0.98126
1002	3.63851	3.763E-4	0.98163
1003	3.33883	3.453E-4	0.98198
1004	3.34065	3.4549E-4	0.98233
1005	3.3459	3.4603E-4	0.98267
1006	3.34689	3.4614E-4	0.98302
1007	3.35713	3.472E-4	0.98336
1008	3.36572	3.4808E-4	0.98371
1009	3.37364	3.489E-4	0.98406
1010	3.37566	3.4911E-4	0.98441
1011	3.37816	3.4937E-4	0.98476
1012	3.37945	3.495E-4	0.98511
1013	3.38663	3.5025E-4	0.98546
1014	3.39351	3.5096E-4	0.98581
1015	3.40281	3.5192E-4	0.98616
1016	3.62795	3.752E-4	0.98654
1017	3.62336	3.7473E-4	0.98691
1018	3.61537	3.739E-4	0.98729
1019	3.60678	3.7301E-4	0.98766
1020	3.60491	3.7282E-4	0.98803
1021	3.60185	3.725E-4	0.98841
1022	3.59404	3.717E-4	0.98878
1023	3.58736	3.7101E-4	0.98915
1024	3.58462	3.7072E-4	0.98952
1025	3.58049	3.7029E-4	0.98989
1026	3.41284	3.5296E-4	0.99024
1027	3.56964	3.6917E-4	0.99061
1028	3.56189	3.6837E-4	0.99098
1029	3.42142	3.5384E-4	0.99133
1030	3.55631	3.6779E-4	0.9917
1031	3.42742	3.5446E-4	0.99206
1032	3.54934	3.6707E-4	0.99242
1033	3.54178	3.6629E-4	0.99279
1034	3.53879	3.6598E-4	0.99315
1035	3.53419	3.6551E-4	0.99352
1036	3.52874	3.6494E-4	0.99389
1037	3.52498	3.6455E-4	0.99425
1038	3.51821	3.6385E-4	0.99461
1039	3.5125	3.6326E-4	0.99498
1040	3.50717	3.6271E-4	0.99534
1041	3.49841	3.6181E-4	0.9957
1042	3.49455	3.6141E-4	0.99606
1043	3.48909	3.6084E-4	0.99642
1044	3.43692	3.5545E-4	0.99678
1045	3.47729	3.5962E-4	0.99714
1046	3.47515	3.594E-4	0.9975
1047	3.46892	3.5876E-4	0.99786
1048	3.46489	3.5834E-4	0.99822
1049	3.46264	3.5811E-4	0.99857
1050	3.4548	3.573E-4	0.99893
1051	3.44796	3.5659E-4	0.99929
1052	3.44523	3.5631E-4	0.99964
1053	3.44602	3.5639E-4	1
