PLANTID,apple_id,ACCID,origin,species,use,country,world,release_year,acidity_16_stor,brix_16_stor,weight_avg_16_stor,firmness_avg_16_stor,brix_acid_16_stor,acidity_16_harv,juiciness_16_harv,date_jul_16_harv,weight_avg_16_harv,brix_avg_16_harv,firmness_avg_16_harv,flowering_jul_16_harv,precocity_16_harv,brix_acid_16_harv,time_ripen_16_harv,percent_acidity_16,percent_brix_16,percent_weight_16,percent_firmness_avg_16,percent_brix_acid_16,acidity_17_stor,brix_17_stor,weight_avg_17_stor,firmness_avg_17_stor,brix_acid_17_stor,brix_17_harv,acidity_17_harv,date_jul_17_harv,firmness_avg_17_harv,weight_avg_17_harv,brix_acid_17_harv,percent_acidity_17,percent_brix_17,percent_weight_avg_17,percent_firmness_avg_17,percent_brix_acid_17,tpc,frap,time_ripen_2017
Alnarp 2,414,4078,USDA,domestica,rootstock,Sweden,old,1944,NA,NA,NA,NA,NA,1.6623420687773,7.43923947827527,248.374946948941,114.965748070315,11.4388885557422,5.97714659716363,153.538764819112,1.48360180400059,5.86854786606058,94.9744568368019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.19767666621322,4.60407554432143,NA
Alpinist,404,17935,USDA,domestica,NA,Former Soviet Union,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.920604587276,1.53907251086863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alton,395,9978,USDA,domestica,dessert,United States,new,1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.081179869937,1.50048945233645,NA,NA,NA,NA,NA,NA,NA,2.1708,5.6,112.252,3.1052,2.57969412198268,11.0586748406142,7.63336225367155,232.894845829328,4.46980252015658,143.559574713375,1.47873772705309,-71.5616797963981,-49.3610212732417,-21.8080715102997,-30.5293693402092,74.4524451353275,NA,NA,80.9631754809046
Ambrosia,1216,NA,Kentville,domestica,dessert,Canada,new,1993,2.4924,13,135.661,6.0241,5.21585620285668,2.82629618319458,15.158567208879,308.082479930367,154.202543278149,12.4688283909216,8.65476575721988,153.991886589426,1.61111111111111,4.42307988126579,153.994792242038,-11.8139133888358,4.25999614739377,-12.0241488136184,-30.3955743114752,17.923626587635,2.1038,11.1666666666667,110.416666666667,8.44786666666667,5.31897213383103,10.693278611722,3.4318954598391,276.859968157771,9.11699367131098,136.925607731,3.24965950077988,-38.6985989340528,4.42696830535931,-19.3601047339601,-7.33933825960518,63.6778294019586,2.51899494100917,2.86260070213465,122.880498242608
Amelia,571,235953,USDA,domestica,dessert,United Kingdom,old,NA,5.1054,13.1,130.954,4.5866,2.56591060445802,4.81197052946053,11.1645327317659,308.228430933833,180.781824776367,11.7761689266339,6.95105823588745,154.011312102432,2.03482848733214,2.49915737476995,154.400529945402,6.09790664225798,11.2416107616461,-27.5624083549359,-34.0158024238676,2.6710294582475,3.2026,12.1,138.746,4.5576,3.77818022856429,9.6392786606302,5.58225485392894,272.185169946036,8.00876935747273,177.339885616409,1.77873112689929,-42.6289181737031,25.5280651800238,-21.762665224612,-43.0923804073912,112.40873178795,2.31631625864297,2.92779801809917,118.282691397846
American Summer Pearmain,394,12112,USDA,domestica,dessert,United States,new,NA,NA,NA,NA,NA,NA,2.88476503367899,6.96089261064431,253.278598620514,136.767343343284,11.6537342422009,5.18219990153116,152.989619684441,1.07186498864561,3.86362997141076,101.183788136877,NA,NA,NA,NA,NA,NA,NA,56.87,4.688,NA,13.6030512787347,3.48454917806821,243.460916204599,8.25115299309345,79.8449321633598,3.99472424112875,NA,NA,-28.7744400813742,-43.1836980368193,NA,NA,NA,90.6229586423606
Amri,368,85941,USDA,domestica,dessert,Pakistan,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.770364502373,1.01313551437554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8080653367501,NA,275.444210876707,11.8686725412485,202.691600464098,NA,NA,NA,NA,NA,NA,NA,NA,121.517550406615
Amur Naliv,469,17947,USDA,domestica,dessert,Former Soviet Union,old,NA,NA,NA,NA,NA,NA,5.98342999439337,16.2898259852565,292.431974540267,186.963925025807,11.982770546074,5.07098915536375,153.433472339086,1.99286435852345,1.99864112689803,140.50811486873,NA,NA,NA,NA,NA,5.4136,10.2,155.004,3.923,1.88414363824442,11.7517445816064,10.3231800169184,258.600355955531,7.45215052439595,183.990096166034,1.14352580967614,-47.5587949534176,-13.2043763445571,-15.7541611043438,-47.357477721936,64.7661663865752,NA,NA,105.226390363603
Ananas Berzenicki,468,201598,USDA,domestica,dessert,Lithuania,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.081529416918,1.51555798427559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.546342263012,7.40247901911314,232.466259419763,8.49275299309345,235.759267481273,1.94699662536738,NA,NA,NA,NA,NA,NA,NA,80.3694166285481
Anis Aliy K-32,493,17536,USDA,domestica,dessert,Former Soviet Union,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.720841603213,1.54180488032881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6600871842549,8.87924345359983,253.91549073163,7.80538962524522,110.94838291118,1.26809594969677,NA,NA,NA,NA,NA,NA,NA,103.956421560369
Anisim,418,23374,USDA,domestica,dessert,Former Soviet Union,old,NA,3.7654,12.6,141.976,6.2526,3.34625803367504,4.57157604307048,13.862184677846,306.324146837445,152.231454294579,12.131141908203,9.01714912656151,152.96906740506,0.973531085807483,2.67838955362845,153.128373889839,-17.634532062361,3.86491309181669,-6.73675118069486,-30.6587934585452,24.9354497049102,4.757,13.65,171.056,7.4543,2.86913209324151,11.0940997077003,7.40391716216311,281.426446909463,9.92764304215775,186.139312507651,1.53180720948894,-35.7502265920786,23.0383749888752,-8.1032385391619,-24.9136983637979,87.303733489983,4.57824414995003,4.84461168096864,128.282381699154
Anna,204,208689,USDA,domestica,dessert,Israel,old,1963,NA,NA,NA,NA,NA,5.31295839263422,13.0839403018419,272.549847737544,167.289869045034,12.0771303212632,5.06557606704088,151.210341134145,2.45112950102119,2.31872404601076,121.276394546547,NA,NA,NA,NA,NA,4.3416,12.5,112,4.15225,2.87912290399853,11.4586853524158,6.0673703139108,257.752132458442,6.77596766290248,160.707369760583,1.86936770197142,-28.443464377872,9.08755773946321,-30.3081120879184,-38.7209295178161,54.0158686256444,NA,NA,106.81313174805
Anoka,513,21810,USDA,domestica,cider,United States,new,1920,NA,NA,NA,NA,NA,NA,NA,240.972160928995,104.979358237253,9.75616941596609,3.93631675539477,152.152431041208,1.01275573282794,NA,89.2429113041023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5998707691464,11.4047690282238,231.937532692529,5.57615299309345,140.66484693189,0.942882277692336,NA,NA,NA,NA,NA,NA,NA,79.7691992977032
Antonovka 1.5 pounds,174,128736,USDA,NA,cider,Former Soviet Union,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.964433484049598,NA,NA,NA,NA,NA,NA,NA,8.8306,9.7,NA,NA,1.0984531062442,10.4275729458038,9.36754925002249,250.394630093267,8.90512434889243,193.570454532719,1.24324572535382,-5.73201416604456,-6.97739492771024,NA,NA,-11.646339589739,NA,NA,NA
Antonovka Kamenichka,162,6738,USDA,domestica,dessert,Former Soviet Union,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.152584574875,1.9459469861324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antonovka Ottawa,458,24787,USDA,domestica,NA,Canada,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.577489764326,3.02074048830142,NA,NA,NA,NA,NA,NA,NA,9.7753,14.4,227.166,5.5962,1.47958156332868,13.3743025916118,15.6078541699313,282.074272313403,7.64272012565281,267.614978941622,0.756883023018521,-37.3693533167921,7.66916556106264,-15.1146169401996,-26.777378891367,95.4835183682637,NA,NA,126.620806710315
Apfel aus Grunheide,500,132689,USDA,domestica,dessert,Germany,old,NA,NA,NA,NA,NA,NA,5.724962453291,17.6392394782753,307.357264622242,278.396359807036,14.7068778803159,4.9484108728015,154.081179869937,1.44418244758816,2.58625643120884,152.994926345217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267.894845829328,NA,NA,NA,NA,NA,NA,NA,NA,3.62058050270917,4.20803026693636,113.963175480905
Arkad Zimnyi,541,197617,USDA,domestica,dessert,Poland,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.255753497151,1.07113342428739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,431,6090,USDA,domestica,dessert,United States,new,1868,NA,NA,NA,NA,NA,1.6623420687773,13.2392394782753,276.374946948941,83.1990814036483,11.1180552224089,8.95759104160807,156.538764819112,1.98958943738552,5.70813119939393,119.974456836802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas Black,401,9300,USDA,domestica,cider,United States,new,NA,4.7302,11.9,134.269,7.6257,2.51574986258509,4.6057514260711,21.0856725701306,309.883518562886,139.736597834995,11.7080430282888,10.2104561841541,154.07861117965,1.04246405761155,2.57538592584762,155.577284232063,2.70202541162887,1.63953080158141,-3.91278871799304,-25.3147962983814,-2.31561657086025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.92630063086107,6.80059609441817,NA
Arlet,72,17192,Kentville,domestica,dessert,Switzerland,old,1970,NA,NA,NA,NA,NA,4.62700512447091,18.2780546184273,303.972160928995,143.929358237253,13.1053757651725,6.26831675539476,153.212615294737,1.01555798335825,2.99106276062933,150.242911304102,NA,NA,NA,NA,NA,5.0384,11.1,139.278,5.625,2.20308034296602,11.7494611024007,6.01975702576106,264.078292578954,8.61121701398791,167.471358498551,1.92881109686823,-16.3022697022724,-5.52758204602251,-16.8347344592627,-34.6782227080928,14.2196012114984,NA,NA,110.909425678643
Aroma,63,14964,Kentville,domestica,dessert,Sweden,old,1973,5.8558,12.9,107.402857142857,7.59671428571429,2.20294408962055,7.59962179251152,12.1194736145358,271.438496711901,159.720469023963,12.9349675721005,6.35219444589723,153.986574642637,1.96163123260195,1.71238582176229,117.397561245373,-22.9461654819433,-0.270333666517433,-32.7557339399352,19.5919670031649,28.6476483058827,NA,NA,NA,NA,NA,14.7797584862382,15.443108204712,253.706232735225,7.92700972287826,129.973802966378,0.992314852100514,NA,NA,NA,NA,NA,2.21676293188896,2.36762974808596,99.6805397739068
Ashmead's Kernel,529,18745,USDA,domestica,dessert,United Kingdom,old,1720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.085306621876,0.91966934404584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlas,445,6540,USDA,domestica,dessert,Canada,new,1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05254219322643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Autumn Arctic,463,10184,USDA,domestica,dessert,United States,new,1956,NA,NA,NA,NA,NA,8.79564723515719,12.9194736145358,267.538873605176,205.035092525665,11.3588278966084,5.60024169405827,151.985707685549,2.96284732252584,1.33581682085255,115.981529327796,NA,NA,NA,NA,NA,NA,NA,207.9975,2.90675,NA,11.2394427147375,9.85967429871738,250.156546655653,7.35079464265815,213.891727727288,1.16447979789914,NA,NA,-2.75570625845014,-60.4566561670552,NA,3.52515662847139,4.03179713860021,98.127252283475
Balancier,1240,18227,USDA,domestica,dessert,Belgium,old,NA,NA,NA,NA,NA,NA,3.66725181776077,21.1377492776935,261.333784104278,95.8666352498594,11.6173633369674,5.50508089134673,153.977893980091,1.49281774119059,3.10358033253376,107.323413640951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.37113458908684,8.8663438875438,NA
Baldwin,155,21813,USDA,domestica,cider,United States,new,1780,NA,NA,NA,NA,NA,5.50575142607109,15.7780546184273,310.296335961295,111.400900290467,12.7858208060666,7.42667760372097,154.145367601443,2.0617868535925,2.33999497934557,156.076313530456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ballyfatten,377,172764,USDA,domestica,dessert,Ireland,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.966334261323,0.975657685423646,NA,NA,NA,NA,NA,NA,NA,5.5208,11.6,127.428,7.0122,2.10114476162875,12.0441135010437,8.43314008052856,254.009382924241,10.094351782854,137.140236172174,1.40684964207197,-34.5344682137193,-3.68739053318632,-7.08197422088489,-30.5334294777527,49.3510535023658,NA,NA,102.012260254423
Banon's Seedling,133,216255,USDA,domestica,NA,India,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.538764819112,1.03143694071878,NA,NA,NA,NA,NA,NA,NA,5.293,12.5,126.26,6.74,2.36160967315322,13.2447727446196,7.67046689908209,239.583582074857,10.9606312082274,150.904500936148,1.64497244498719,-30.9950740986392,-5.62314476042746,-16.3311901124644,-38.5071911283655,43.5653028930591,NA,NA,85.7831544611299
Barry,517,16807,USDA,domestica,dessert,United States,new,1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.94233270723003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bashkirian Beauty,573,287716,USDA,domestica,NA,Former Soviet Union,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.907920361808,0.941380195957013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Battleford,556,3750,USDA,domestica,dessert,Canada,new,1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.059216481762,1.02343526053531,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.155,3.9625,NA,11.8429712697686,7.52986439589654,239.528987633945,6.35660856092597,142.177656997501,1.57774979756424,NA,NA,-28.1497514044731,-37.6633001384188,NA,NA,NA,89.2719761562299
Beacon,527,21820,USDA,domestica,dessert,United States,new,1936,NA,NA,NA,NA,NA,6.824962453291,19.0780546184273,258.660534535034,118.932080995137,11.6402112136492,5.73542800912705,154.104239744314,1.50048945260691,1.67649212144454,104.432797758858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beatrix,547,21991,USDA,domestica,dessert,Netherlands,old,NA,5.3801,12.2,95.457,4.0665,2.30781032890001,5.40899828276881,15.012184677846,293.139601766386,112.953873127143,11.5153442259941,5.38482121691392,154.090825975547,1.98116665612949,2.14071166734383,139.319832978576,-0.534263115979717,5.9455953775172,-15.4902816899853,-24.4821724586329,7.80575283001629,NA,NA,NA,NA,NA,11.4493086806536,12.5223856114165,261.081617008859,7.76607254124853,221.275265987517,0.891089982924723,NA,NA,NA,NA,NA,3.72534798353752,4.0220462431503,106.971141580667
Beautiful Arcade,1200,3647,Kentville,domestica,dessert,Russia,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.760237497617,0.973349053836146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beauty of Bath,461,18807,USDA,domestica,dessert,United Kingdom,old,1864,NA,NA,NA,NA,NA,NA,NA,236.888203769215,87.0173257581864,3.60280897909774,3.25180520945856,154.338138988877,1.03245830967652,NA,85.5762659079316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.59823482763151,4.8279553818248,225.014840964848,4.6110018165081,83.0247776242342,1.78314842467325,NA,NA,NA,NA,NA,8.38759730087378,9.57997770033833,72.9908344561289
Bedford Red,512,9352,USDA,domestica,NA,United Kingdom,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.793922477533,2.05839530683823,NA,NA,NA,NA,NA,NA,NA,2.613,14.2,135.228,3.9166,5.43436662839648,12.1005377023497,5.04014003964798,282.229702843948,8.33567258840315,168.003724607399,2.43772184082113,-48.156202418088,17.3501570698187,-19.5089273669326,-53.0139894716007,122.928085452356,NA,NA,130.305145132326
